Mounting coordinates exported from Grove - Water  Atomization v1.0.brd on 2015/8/12 10:56:06

Value,Ref-Des,Size,x(inch),y(inch),Angle,Side
JUMPER-2P-SHORT,AGND,2P-SMD-SHORT,-0.708,4.718,90,Bottom
10uF/25V,C1,C1206,-0.777,4.463,0,Top
100uF/20V,C2,AVX-D,-0.998,4.329,270,Top
10uF,C3,AVX-B,-1.177,4.729,180,Top
10nF,C5,C0402,-0.438,4.484,90,Top
100pF,C6,C0402,-0.642,4.663,0,Top
100nF/100V,C7,C0805,-0.422,4.284,0,Top
1nF/1KV,C8,C1206,-0.318,4.329,270,Top
304020026,D1,SOD-323,-0.968,4.559,180,Top
DNP,EN,TP-D45MIL,-1.512,4.244,0,Bottom
DNP,GND,TP-D45MIL,-1.512,4.744,0,Bottom
320110033,J1,HW4-2.0,-1.438,4.494,90,Top
320110049,J2,H2-2.0-6X4.5MM,-0.138,4.494,90,Top
47uH,L1,INT2-SMD-4.8X4.8X3MM,-0.958,4.734,270,Top
330uH,L2,INT2-SMD-4.8X4.8X3MM,-0.772,4.274,270,Top
DNP,NC1,TP-D45MIL,-0.062,4.343,0,Bottom
DNP,NC2,TP-D45MIL,-0.062,4.644,0,Bottom
DNP,OUT+,TP-D45MIL,-0.062,4.744,0,Bottom
DNP,OUT-,TP-D45MIL,-0.062,4.244,0,Bottom
,P1,ROUND-MARK-1.0,-3.288,0.143,0,Top
,P2,ROUND-MARK-1.0,0.138,0.143,0,Top
,P3,ROUND-MARK-1.0,-3.288,4.744,0,Top
,P4,ROUND-MARK-1.0,0.138,4.744,0,Top
,P5,ROUND-MARK-1.0,-3.288,0.143,0,Bottom
,P6,ROUND-MARK-1.0,0.138,0.143,0,Bottom
,P7,ROUND-MARK-1.0,0.138,4.744,0,Bottom
,P8,ROUND-MARK-1.0,-3.288,4.744,0,Bottom
DNP,PWM,TP-D45MIL,-1.512,4.343,0,Bottom
NCE3407A,Q1,SOT-23,-1.163,4.569,270,Top
9013,Q2,SOT-323,-1.167,4.364,270,Top
CJ2324,Q3,SOT-23,-0.542,4.423,270,Top
10K,R1,R0402,-0.752,4.843,270,Top
47K,R2,R0402,-1.183,4.286,90,Top
47K,R3,R0402,-1.183,4.196,90,Top
10K,R4,R0402,-1.183,4.449,270,Top
220K/1%,R5,R0402,-0.762,4.574,0,Top
2.4K/1%,R6,R0402,-0.718,4.574,180,Top
24R,R7,R0805,-0.593,4.284,0,Top
24R,R8,R0805,-0.507,4.284,0,Top
10K,R9,R0402,-0.642,4.441,180,Top
20K/1%,R10,R0402,-0.182,4.673,90,Top
51K/1%,R11,R0402,-0.182,4.718,270,Top
1K,R12,R0402,-1.183,4.241,270,Top
10R,R13,R0402,-0.642,4.579,180,Top
DNP,U$1,SEEEDSTUDIO-PCB-FRAME,-2.388,3.793,0,Top
,U$5,OSHW_FILLX200_NOTEXT,-0.458,4.418,0,Bottom
,U$7,GROVE-SILK-BIG,-0.843,4.454,0,Bottom
NE555,U3,SOIC8-1.27-5X4MM,-0.443,4.623,270,Top
,U4,GROVE-TEST-PLATFORM,-0.787,1.419,0,Top
,U5,GROVE-TEST-PLATFORM,-2.362,1.419,180,Top
,U6,GROVE-TEST-PLATFORM,-0.787,2.443,0,Top
,U7,GROVE-TEST-PLATFORM,-2.362,2.443,180,Top
,U8,GROVE-TEST-PLATFORM,-0.787,3.469,0,Top
,U9,GROVE-TEST-PLATFORM,-2.362,3.469,180,Top
,U10,GROVE-TEST-PLATFORM,-2.362,4.494,180,Top
,U11,GROVE-TEST-PLATFORM,-0.787,4.494,0,Top
,U12,GROVE-TEST-PLATFORM,-0.787,0.394,0,Top
,U13,GROVE-TEST-PLATFORM,-2.362,0.394,180,Top
ETA1617,U14,SOT-23-6,-0.752,4.734,0,Top
DNP,VCC,TP-D45MIL,-1.512,4.644,0,Bottom
